"ecoSpeciesProfilesID"	"ecoSpeciesID"	"lifeZoneID"	"ecoGenusID"	"IUCNL3ID"	"BIOL4ID"	"ecoSpeciesDescription"	"ecoSpeciesBiota"	"ecoSpeciesDistribution"	"ecoSpeciesDistributionRasterName"	"ecoSpeciesDistributionRasterValue"	"RLEStatus"	"RLENotes"	"ecotaxonomicNotes"	"ecoSpeciesProfilesReferenceID"	"ecoSpeciesProfilesReference"	"ecoSpeciesProfilesReferencePage"	"ecoSpeciesProfilesReferenceAuthorID"	"ecoSpeciesProfilesReferenceDate"	"isProtologue"	"ecoSpeciesProfilesReferenceAuthor"
372	20200911095232	"7bed19ab-1acd-489b-96bf-b01843742a45"	"48edc953-3438-46b9-b44a-bf3a600b2a88"												"Senterre (2016)"	"4"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2016-11-24T21:00:00Z	1	"Senterre, Bruno"
373	20201215102726	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"											"https://doi.org/10.1896/978-1-934151-01-3.21"	"Jongkind (2007)"	"23"	"00a9ed8e-cfa2-46d9-8d64-a459bf6c934a"	2006-12-31T21:00:00Z	1	"Jongkind, Carel"
374	20200807163951	"20200804085240"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"	"MFT1.2"	"BIO-MFT6.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"22"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-06T21:00:00Z	1	"Senterre, Bruno"
375	20200807164046	"20200804085240"	"ce487fed-fcf6-48f6-86f8-9f6ee293d17b"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
376	20200807164752	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
377	20200807165550	"7bed19ab-1acd-489b-96bf-b01843742a45"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
378	20200807170016	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"82357250-99b1-4de1-ab12-dd946412583f"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
379	20200807170431	"7bed19ab-1acd-489b-96bf-b01843742a45"	"82357250-99b1-4de1-ab12-dd946412583f"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
380	20200807170815	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"aa639302-e87b-4d89-b7bd-0d3265c50982"	"T1.4"	"BIO-T1.1.5"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"62"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-06T21:00:00Z	1	"Senterre, Bruno"
381	20200807180035	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"628e8351-ae36-480d-bc85-12c094c9d813"	"T3.4"	"BIO-T3.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"55"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-06T21:00:00Z	1	"Senterre, Bruno"
382	20200810092105	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"26"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-09T21:00:00Z	1	"Senterre, Bruno"
383	20200811150032	"20200804085240"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"xx"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
384	20200811152413	"d88800cf-d09e-4404-ace8-ed5ff6d1d433"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"27"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
385	20200811153752	"7bed19ab-1acd-489b-96bf-b01843742a45"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"27"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
386	20200811154313	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"27"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
387	20200811154615	"20200422155340"	"9f04c393-b33e-42ef-89d2-b674e2ca6f48"	"F1.1"	"BIO-F2.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"27"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
388	20200811154840	"20200804085240"	"20200811-1558"	"FM1.3"	"BIO-MFT4.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"22"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-10T21:00:00Z	1	"Senterre, Bruno"
